region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
West,Gujarat,District_104,2004,465.54,42.99,109.94,118.26,2035148,178.81,175.93,0.016
North,Himachal Pradesh,District_103,2001,1283.92,28.21,231.19,186.42,3265060,133.99,131.79,0.0163
South,Kerala,District_85,2022,1361.44,21.58,93.04,68.95,2157856,366.32,341.68,0.0671
South,Karnataka,District_13,2023,1022.29,6.48,274.25,227.45,3034437,433.02,392.1,0.0943
North,Punjab,District_69,2011,1012.34,23.26,233.8,225.69,998682,112.64,130.49,-0.1571
North,Uttar Pradesh,District_87,2009,1022.33,20.02,130.06,115.67,1249848,64.46,64.29,0.0027
South,Andhra Pradesh,District_72,2015,957.56,3.13,155.53,142.58,2758122,232.93,203.69,0.125
East,West Bengal,District_59,2004,1049.93,20.84,144.5,108.68,1027714,212.66,212.46,0.0009
South,Andhra Pradesh,District_114,2010,1516.61,44.73,171.35,142.4,1545217,89.22,62.41,0.2972
West,Gujarat,District_107,2019,771.57,32.01,158.21,178.09,1812355,181.69,159.53,0.1213
East,Bihar,District_49,2014,1010.46,35.53,264.14,254.74,3062582,392.18,388.41,0.0096
West,Rajasthan,District_105,2023,724.74,4.03,243.73,253.84,1923347,151.82,121.28,0.1998
North,Punjab,District_133,2011,626.09,38.36,163.51,114.35,3451005,296.32,268.4,0.0939
West,Maharashtra,District_132,2005,373.96,10.58,281.95,249.04,692551,62.62,81.67,-0.2994
East,Bihar,District_80,2022,696.86,15.88,149.83,138.08,2671638,215.02,239.28,-0.1123
North,Haryana,District_104,2004,526.2,49.84,319.05,307.98,556028,94.45,117.84,-0.245
North,Haryana,District_146,2000,1143.45,42.62,272.37,253.49,2421967,273.05,286.44,-0.0488
South,Tamil Nadu,District_50,2006,1724.05,27.84,223.87,177.98,176860,34.95,4.85,0.8374
West,Maharashtra,District_64,2001,1102.86,47.28,88.56,97.35,3499634,458.21,432.1,0.0568
East,Assam,District_13,2011,784.54,37.13,107.77,109.66,950551,97.5,74.04,0.2382
West,Rajasthan,District_71,2011,731.64,28.64,322.22,304.04,1433167,260.03,218.96,0.1573
East,Assam,District_130,2012,540.42,31.58,204.67,155.54,1937946,141.12,100.45,0.2862
East,West Bengal,District_8,2007,692.76,38.24,120.33,123.31,461439,46.75,48.47,-0.0359
South,Telangana,District_126,2019,918.72,8.61,167.03,139.26,1544275,333.07,339.78,-0.0201
East,Assam,District_46,2015,1152.58,24.13,255.46,242.14,2825456,353.13,354.41,-0.0036
North,Uttarakhand,District_142,2011,1069.91,44.23,154.15,152.45,1627850,98.04,101.96,-0.0396
South,Telangana,District_42,2008,494.26,44.07,118.48,142.22,156753,20.75,6.81,0.641
East,Bihar,District_73,2000,1058.78,11.05,92.91,79.17,1358316,101.76,110.4,-0.084
South,Kerala,District_13,2005,683.55,26.25,214.09,179.64,1462839,220.51,217.27,0.0146
North,Uttarakhand,District_55,2007,1167.03,5.83,285.62,276.17,2808355,463.82,463.11,0.0015
South,Karnataka,District_53,2008,997.65,44.06,146.41,175.46,528672,76.16,77.96,-0.0234
East,Jharkhand,District_132,2000,1194.62,45.8,137.13,130.16,1371742,72.28,58.78,0.1843
North,Uttar Pradesh,District_122,2004,927.28,36.55,87.33,66.63,1016830,42.16,71.46,-0.6791
South,Tamil Nadu,District_3,2007,648.93,3.08,259.21,265.69,1401395,58.84,65.43,-0.1101
West,Gujarat,District_79,2022,51.27,2.6,87.84,94.07,2421243,183.5,175.37,0.0441
West,Gujarat,District_109,2012,1029.16,38.19,92.01,84.59,2416756,375.69,347.93,0.0737
South,Telangana,District_118,2008,641.18,8.79,301.9,331.24,731087,101.5,87.78,0.1339
West,Rajasthan,District_120,2009,1058.53,39.3,142.77,105.23,3260881,165.37,174.87,-0.0571
North,Haryana,District_102,2018,865.28,46.38,162.73,139.8,2046157,191.42,199.19,-0.0404
East,West Bengal,District_2,2016,645.29,2.04,267.42,283.72,1510742,125.02,126.53,-0.012
South,Telangana,District_144,2020,1112.66,24.84,72.93,25.28,1057585,67.95,86.63,-0.2709
North,Himachal Pradesh,District_73,2009,976.23,15.58,187.01,188.61,1223572,105.38,106.87,-0.014
East,West Bengal,District_124,2002,957.57,43.82,252.31,254.98,469377,74.69,71.07,0.0478
East,Odisha,District_71,2020,408.74,14.42,267.51,239.79,747484,98.81,101.8,-0.03
East,Odisha,District_71,2008,280.64,24.32,260.07,219.35,1586771,325.72,294.59,0.0953
South,Andhra Pradesh,District_49,2004,743.54,7.39,144.45,125.32,2632292,462.06,484.09,-0.0476
North,Haryana,District_62,2001,812.62,5.95,60.78,56.18,1450444,152.87,145.27,0.0494
North,Himachal Pradesh,District_104,2021,865.37,10.6,247.65,240.51,875966,68.11,92.56,-0.3536
East,Odisha,District_36,2023,795.63,24.31,238.53,260.92,1471693,206.38,166.7,0.1913
North,Uttar Pradesh,District_128,2009,713.15,6.25,236.61,243.55,671228,34.3,-7.59,1.1868
West,Gujarat,District_108,2012,272.26,8.81,148.37,112.57,2337378,195.72,177.55,0.0924
South,Kerala,District_10,2018,649,14.2,202.29,155,902743,145.26,169.66,-0.1668
North,Uttarakhand,District_49,2010,701.09,24.11,318.34,340.78,2568188,267.98,243.28,0.0919
South,Karnataka,District_137,2020,698.69,3,235.19,211.54,2531966,133.78,158.59,-0.1841
North,Punjab,District_92,2016,699.93,12.1,144.19,111.26,919445,92.08,114.03,-0.2358
South,Andhra Pradesh,District_44,2021,1070.77,7.55,334.42,305.75,3365301,699.5,710.87,-0.0162
Central,Chhattisgarh,District_47,2009,888.82,32.84,139.79,129.22,702537,102.31,69.85,0.3142
East,West Bengal,District_121,2004,958.35,27.63,169.96,172.73,3087800,367.63,334.38,0.0902
West,Gujarat,District_144,2005,769.13,25.5,150.3,110.56,2623182,133.97,160.12,-0.1937
East,Odisha,District_23,2007,470.85,36.46,275.42,301.35,1819473,384.86,384.46,0.0011
South,Telangana,District_58,2023,583.99,18.19,64.12,81.85,1034705,191.17,207.62,-0.0856
South,Andhra Pradesh,District_108,2010,414.3,39.97,207.96,227.73,3067911,524.11,501.02,0.044
South,Telangana,District_67,2018,585.69,9.36,325.28,350.13,1519137,126.91,127.03,-0.0009
South,Andhra Pradesh,District_119,2003,1232.98,41.06,203.12,216.69,3410591,565.98,577.51,-0.0203
North,Punjab,District_14,2020,1086.83,45.36,90.27,41.65,1363964,223.45,183.04,0.18
North,Uttarakhand,District_149,2019,662.98,23.22,80.74,79.56,1698980,186.33,174.13,0.0651
East,Bihar,District_121,2006,1070.23,40.54,183.87,195.19,1669083,182.57,200.7,-0.0988
North,Haryana,District_31,2021,720.62,33.91,142.99,157.08,3475354,713.44,698.22,0.0213
South,Kerala,District_136,2009,988.88,40.55,289.59,304.14,1618785,91.99,83.9,0.087
East,Jharkhand,District_14,2004,818.95,41.98,346.28,350.84,3045948,279.37,297.23,-0.0637
Central,Madhya Pradesh,District_52,2010,572.72,13.97,125.22,113.66,825713,88.52,50.86,0.4207
East,Jharkhand,District_146,2014,714.49,43.78,164.16,146.14,2003813,100.45,99.55,0.0089
Central,Madhya Pradesh,District_81,2022,472.63,29.79,173.88,157.66,1887325,312.64,313.55,-0.0029
South,Tamil Nadu,District_21,2015,805.98,29.84,334.94,359.44,2412254,303.38,308.96,-0.0183
East,Odisha,District_46,2010,586.06,36.64,81.65,38.5,597523,83.48,79.69,0.0449
West,Maharashtra,District_2,2014,620.78,20.39,302.32,254.94,783013,124.32,130.39,-0.0484
West,Gujarat,District_54,2005,603.47,38.82,120.01,77.99,2250843,391.27,381.37,0.0252
North,Uttarakhand,District_41,2015,1059.89,12.32,267.53,233.53,1750676,228.27,185.83,0.1851
East,Bihar,District_34,2019,1076.01,47.2,310.87,300.87,1213061,89.58,55.11,0.3806
East,Jharkhand,District_110,2012,665.22,25.07,204.67,217.46,1631419,86.86,69.68,0.1956
East,Jharkhand,District_123,2012,692.1,40.06,98.47,86.98,3224199,556.07,575.7,-0.0352
North,Uttar Pradesh,District_10,2017,742.98,8.03,100.13,70.28,438359,79.31,53.34,0.3234
West,Rajasthan,District_96,2000,752.14,31.02,259.05,287.58,1106838,123.04,95.43,0.2226
East,Odisha,District_136,2006,532.82,26.85,301.23,278.48,2280919,416.59,423.58,-0.0167
North,Uttar Pradesh,District_2,2020,254.26,3.73,330.51,332.89,171547,17.41,-11.06,1.5466
South,Karnataka,District_58,2022,974.32,13.88,83.1,107.51,1655456,237.71,198.32,0.165
South,Telangana,District_80,2004,911.52,9.05,341.55,295.75,3377625,351.18,319.64,0.0895
East,West Bengal,District_99,2016,851.73,41.49,138.69,153.88,2802959,512.63,507.77,0.0095
North,Uttarakhand,District_79,2005,414.53,27.8,348.6,346.67,729618,43.18,5.23,0.859
East,Bihar,District_12,2009,877.38,4.51,87.71,65,2707468,211.21,203.55,0.0361
South,Andhra Pradesh,District_117,2023,748.18,2.96,133.33,121.94,1358297,63.65,57.04,0.1022
North,Haryana,District_135,2010,1094.97,46.83,154.96,174.09,2582488,468.15,483.15,-0.032
East,Jharkhand,District_35,2010,1012.05,8.28,255.99,241.19,2639713,250.42,261.18,-0.0428
North,Punjab,District_92,2006,835.93,14.46,251.8,279.24,848247,152.61,110.83,0.272
South,Tamil Nadu,District_104,2000,912.4,35.45,232.85,226.02,668059,59.75,41.11,0.307
South,Karnataka,District_58,2023,1092.47,24.82,348.39,299.99,1435722,180.37,170.12,0.0565
Central,Madhya Pradesh,District_55,2023,1017.51,39.01,251.77,249.02,265139,18.36,-26.3,2.3065
North,Uttar Pradesh,District_130,2005,818.68,37.03,295.19,256.48,1661265,188.68,156.92,0.1674
East,West Bengal,District_94,2022,1024.36,34.67,289.09,253.88,3211776,341.02,326.69,0.0419
West,Maharashtra,District_97,2020,1521.11,48.7,76.16,60.25,3124934,659.13,623.93,0.0533
West,Gujarat,District_137,2019,916.06,25.2,157.43,175.07,1740284,184.42,172.45,0.0645
West,Maharashtra,District_13,2021,1134.26,18.08,70.01,76.96,847441,112.74,122.98,-0.0901
East,West Bengal,District_6,2001,1272.19,12.07,233.74,256.62,2379696,274.4,246,0.1031
East,West Bengal,District_107,2014,1042.99,41.47,223.17,176.02,1849927,92.28,71.78,0.2198
South,Kerala,District_32,2017,1349.45,44.78,293.13,308.4,134894,10.63,25.6,-1.2878
West,Gujarat,District_122,2022,1118.91,48.51,226.25,238.63,2507492,435.53,434.46,0.0025
Central,Madhya Pradesh,District_53,2022,1084.83,24.73,179.26,134.87,3271351,361.37,328,0.0921
North,Uttar Pradesh,District_78,2013,620.03,47.05,95.53,108.57,1067666,217.14,224.3,-0.0328
East,West Bengal,District_134,2008,1514.21,28.07,65.94,54.19,973904,132.2,155.31,-0.1735
North,Himachal Pradesh,District_36,2013,717.82,24.69,256.37,216.41,847044,137.12,152.2,-0.1092
East,West Bengal,District_131,2023,808.54,5.83,302.74,326.42,2306603,197.51,202.7,-0.0261
North,Himachal Pradesh,District_31,2009,924.45,23.13,208.6,184.79,1783494,184.85,155.07,0.1603
East,West Bengal,District_28,2015,407.8,23.26,152.36,124.5,3023808,248.33,234.22,0.0566
West,Rajasthan,District_52,2008,730.88,28.4,202.62,187.38,2859140,423.01,439.69,-0.0393
North,Haryana,District_52,2011,1659.81,16.58,157.67,142.24,2349778,498.76,524.23,-0.051
East,Jharkhand,District_76,2005,530.38,25.3,300.75,254.7,2006126,125.11,111.65,0.1068
West,Maharashtra,District_141,2015,833.15,33.93,187.28,141.03,3414029,479.61,485.25,-0.0117
West,Rajasthan,District_124,2010,841.88,17.61,196.62,161.12,2552339,485.72,504.66,-0.0389
South,Karnataka,District_1,2000,1269.97,35.99,186.29,196.27,1797054,192.74,197.78,-0.026
East,Bihar,District_29,2018,1008.87,24.88,311.05,338.48,1360360,144.65,170.6,-0.1782
North,Punjab,District_39,2002,571.32,38.62,264.02,246.18,2746309,274.3,266.56,0.0281
North,Haryana,District_20,2023,796.64,14.49,111.34,139.06,549535,80.5,109.6,-0.357
East,West Bengal,District_66,2020,832.72,3.65,263.68,271.35,1209699,190.77,170.35,0.1065
South,Karnataka,District_117,2009,548.16,44.9,144.54,129.52,537247,71.7,27.21,0.612
West,Gujarat,District_119,2001,1260.98,2.56,146.88,127.03,2333890,353.55,366.14,-0.0355
East,West Bengal,District_45,2001,1154.74,21.67,212.23,204.06,1553668,114.65,83.06,0.2732
South,Andhra Pradesh,District_93,2021,874.89,45.91,215.71,187.49,1608526,233.2,245.95,-0.0545
East,Odisha,District_110,2023,1015.24,34.7,278.12,267.84,2162118,404.99,360.71,0.1091
East,West Bengal,District_25,2001,636.41,11.22,85.16,88.2,435594,38.92,53.72,-0.3708
North,Uttar Pradesh,District_36,2021,713.97,48.97,230.65,216.09,2260582,382.98,355.47,0.0717
South,Tamil Nadu,District_85,2011,875.72,21.97,64.9,45.46,2569131,452.97,465.95,-0.0286
East,Assam,District_69,2023,743.43,19.86,305.63,269.4,65272,7.5,17.59,-1.1866
East,Bihar,District_96,2010,771.11,16.52,137.95,125.37,1795246,271.37,227.76,0.1601
South,Tamil Nadu,District_30,2012,1253.88,12.68,135.75,124.8,1226970,188.95,184.26,0.0247
South,Kerala,District_117,2008,617.21,28.69,142.61,170.67,98576,5.62,22.74,-2.5884
South,Kerala,District_123,2013,966.69,6.52,278.74,307.1,1528312,249.03,230.76,0.073
South,Tamil Nadu,District_29,2004,664.58,2.73,309.76,328.12,1802073,346.76,331.7,0.0433
West,Maharashtra,District_41,2003,1070.94,24.1,71.44,100.28,392757,74.2,53.3,0.2779
East,Jharkhand,District_124,2018,530.84,5.13,149.16,156.12,3428174,672.61,674.85,-0.0033
East,Assam,District_47,2019,880.56,10.52,198.47,188.9,2909551,533.04,531.76,0.0024
South,Kerala,District_92,2019,1239.71,13,127.22,85.11,1243386,173.62,157.41,0.0928
North,Uttar Pradesh,District_34,2015,232.17,45.94,96.43,92.95,724441,93.94,89.61,0.0455
North,Punjab,District_29,2013,741.73,26.91,100.58,89.53,1008477,117.38,82.85,0.2917
East,Assam,District_12,2002,1431.54,24.53,187.5,181.8,3302023,411.73,412.64,-0.0022
West,Gujarat,District_81,2000,1018.11,20.05,245.61,236.03,2160074,123.94,152.94,-0.2321
North,Haryana,District_148,2023,539.06,3.04,210.81,186.41,3408523,275.55,235.86,0.1435
North,Uttarakhand,District_58,2021,810.87,36.44,281.17,295.05,3433738,580.23,565.39,0.0255
East,Odisha,District_133,2016,1034.1,22.52,338.97,311.14,152039,10.66,38.52,-2.3904
North,Himachal Pradesh,District_25,2013,789.93,32.21,343.04,346.54,2126559,428.51,391.7,0.0857
South,Karnataka,District_124,2011,543.9,35.86,144.56,151.92,43004,9.19,19.66,-1.0275
South,Kerala,District_39,2017,902.46,2.89,218.23,191.68,1597330,238.48,237.3,0.0049
North,Himachal Pradesh,District_14,2000,492.01,30.28,247.82,241.68,2341316,128.99,132.96,-0.0306
South,Tamil Nadu,District_130,2015,481,22.12,64.91,65.71,1185025,93.05,87.39,0.0602
North,Punjab,District_43,2002,579.97,48.42,106.42,73.44,3307172,631.77,591.91,0.063
North,Punjab,District_83,2007,650.57,17.48,328.58,295.14,2422777,504.76,533.88,-0.0576
East,Odisha,District_72,2001,911.73,43.92,84.36,59.84,1828318,242.45,218.94,0.0966
North,Haryana,District_58,2017,1638.27,46.46,85.65,39.3,1838332,205.22,211.95,-0.0327
South,Kerala,District_104,2007,293.21,22.75,343.99,366.9,1543474,73.19,59.37,0.1863
East,Bihar,District_118,2014,645.02,4.33,235.08,201.05,147335,16.75,18.65,-0.1067
North,Uttarakhand,District_115,2002,651.12,31.72,101.67,89.88,1664285,331.13,317.85,0.04
North,Punjab,District_115,2010,855.27,18.99,298.06,265.46,1032232,108.01,134.59,-0.2439
East,West Bengal,District_128,2023,843.29,49.9,134.99,107.05,3486697,168.68,198.35,-0.1749
North,Uttar Pradesh,District_27,2012,948.87,32.98,181.04,187.24,2556040,540.91,566.89,-0.0479
East,Jharkhand,District_10,2017,978.73,24.94,124.81,98.37,1646254,191.12,161.09,0.1563
Central,Chhattisgarh,District_1,2002,1413.12,14.18,182.52,149.59,1067091,89.23,88.17,0.0117
North,Himachal Pradesh,District_78,2016,885.67,43.88,266.5,250.1,599087,59.94,87.09,-0.4456
Central,Chhattisgarh,District_53,2020,457.22,9.05,325.95,276.09,1076451,110.97,76.55,0.3073
East,Assam,District_88,2011,950.99,8.82,264.39,221.98,175353,34.58,47.55,-0.3643
West,Maharashtra,District_58,2014,609.93,2.39,202.7,190.19,352088,57.76,79.75,-0.3741
East,Odisha,District_144,2019,828.28,5.47,287.99,287.84,3271101,223.11,197.5,0.1143
North,Himachal Pradesh,District_122,2022,1257.1,30.77,76.7,44.5,1165112,47.05,48.54,-0.0308
South,Telangana,District_116,2003,768.19,30.87,235.83,236.63,775416,108.47,124.75,-0.1487
East,West Bengal,District_57,2000,1213.93,8.3,231.54,210.9,1266521,167.63,136.58,0.1841
East,Odisha,District_91,2020,1090.98,35.99,133.72,94.76,2996902,224.61,244.83,-0.0896
South,Andhra Pradesh,District_141,2016,1083.22,48.83,311.81,270.36,2738844,354.64,323.94,0.0863
South,Telangana,District_28,2001,1081.49,42.68,156.58,154.58,2055807,268.23,261.35,0.0256
South,Tamil Nadu,District_127,2004,888.09,10.25,140.83,158.12,1534546,239.55,239.89,-0.0014
East,Jharkhand,District_28,2008,976.75,4.01,111.26,72.06,1732222,314.12,326.32,-0.0387
North,Himachal Pradesh,District_51,2006,1259.51,15.86,332.02,295.96,2297369,250.19,268.39,-0.0725
East,West Bengal,District_101,2006,1052.57,15.19,199.13,169.47,846284,152.81,119.78,0.2148
East,Assam,District_49,2022,1500,17.53,303.21,324.92,3117787,210.44,234.22,-0.1125
East,Odisha,District_28,2013,778.86,45.58,165.32,172.35,3171390,374.02,393.21,-0.0512
West,Maharashtra,District_32,2014,1512,41.49,330.01,310.13,875513,59.29,69.41,-0.1677
East,Assam,District_130,2004,1085.27,47.36,74,103.92,2474147,523.15,490.53,0.0622
North,Punjab,District_2,2016,500.86,45.34,296.18,289.45,1396173,148.91,177.39,-0.19
West,Maharashtra,District_142,2013,1100.57,27.21,342.47,299.55,2505933,414.2,373.54,0.0979
North,Uttarakhand,District_124,2016,1851.48,10.6,89.95,115.78,2139749,305.94,271.96,0.1107
South,Tamil Nadu,District_149,2005,809.51,36.27,186.28,192.7,934707,121.3,79.41,0.3425
Central,Madhya Pradesh,District_27,2012,975.27,37.27,276.84,286.66,2744974,230.75,257.04,-0.1134
North,Himachal Pradesh,District_83,2016,947.99,17.45,131.48,160.76,529771,78.42,55.1,0.2936
South,Kerala,District_108,2019,1064.39,16.58,207.75,177.98,2803501,262.54,289.91,-0.1039
South,Karnataka,District_71,2012,658,40.22,185.2,178.96,819406,127.11,152.07,-0.1948
East,Odisha,District_76,2014,1217.97,14.15,294.3,310.93,1038404,124.24,105.72,0.1479
Central,Madhya Pradesh,District_36,2013,1567.37,28.12,274.54,248.07,58815,8.7,-35.71,4.5805
North,Himachal Pradesh,District_132,2009,867.41,6.3,96.7,60.57,2154234,312.06,336.74,-0.0788
Central,Chhattisgarh,District_81,2022,1132.82,47.75,75.7,57.95,471123,47.32,77.08,-0.6159
Central,Chhattisgarh,District_56,2006,1123.47,48.06,231.72,196.15,471331,70.82,45.47,0.3529
West,Rajasthan,District_75,2021,980.04,21.65,336.39,297.16,2605453,203.3,204.65,-0.0066
South,Telangana,District_34,2022,952.78,28.09,195.72,215.53,429170,75.1,66.86,0.1083
South,Tamil Nadu,District_129,2017,855.18,4.24,264.48,226.46,2065126,228.26,235.01,-0.0294
East,Odisha,District_30,2011,831.85,14.07,159.59,152.8,2530553,262.59,224.64,0.144
Central,Chhattisgarh,District_123,2018,805.29,49.56,196.96,182.65,2068164,260.36,278.28,-0.0686
North,Uttarakhand,District_107,2021,1240.06,17.41,125.24,85.01,1853557,333.3,316.36,0.0507
Central,Chhattisgarh,District_74,2013,477.98,43.27,263.05,249.24,846219,137.45,163.19,-0.186
North,Uttar Pradesh,District_134,2003,744.12,29.06,121.08,75.18,2506072,511.3,511.02,0.0005
North,Uttar Pradesh,District_98,2004,1064.98,43.82,277.01,237.51,1826868,366.02,376.79,-0.0293
West,Maharashtra,District_15,2006,575.86,46.66,232.3,198.21,3119952,646.56,610.99,0.0549
West,Gujarat,District_42,2009,848.4,19.17,144.32,125.13,1871719,82.88,83.11,-0.0028
West,Gujarat,District_38,2001,842.36,16.56,267.16,292.71,1947811,261.87,250.24,0.0442
South,Andhra Pradesh,District_53,2017,668.15,19.68,165.57,118.81,2530048,525.69,501.89,0.0452
West,Maharashtra,District_92,2014,1100.68,38.7,108.69,105.13,2936984,368.7,327.81,0.1106
East,West Bengal,District_144,2007,965.48,20.35,331.02,326.45,3165057,283.07,258.27,0.0873
Central,Chhattisgarh,District_100,2007,1226.2,41.96,267.3,238.88,3261797,391.39,377.22,0.0361
North,Haryana,District_74,2022,1128.77,6.76,323.58,336.38,2128372,113.31,126.61,-0.1163
West,Maharashtra,District_98,2012,615.18,37.93,186.77,160.34,457667,33.81,42.41,-0.2472
East,Jharkhand,District_81,2017,1071.77,13.87,272.18,267.02,63737,7.78,32.44,-2.8086
West,Maharashtra,District_4,2023,890.9,40.34,130.56,102.52,1505689,319.08,334.61,-0.0485
West,Gujarat,District_52,2019,944.14,48.46,198.59,170.4,2563952,163.94,192.26,-0.1717
East,Assam,District_58,2020,954.59,4.39,136.47,161.27,3086037,450.74,433.76,0.0376
South,Telangana,District_140,2023,1471.53,7.58,220.96,227.98,3119997,201.32,163.98,0.1846
North,Himachal Pradesh,District_51,2023,1034.19,13.64,162.41,116.4,1549851,65.11,76.93,-0.1789
West,Rajasthan,District_76,2014,591.64,26.43,317.47,291.97,435129,30.37,5.52,0.7922
South,Tamil Nadu,District_20,2005,1105,27.17,344.46,330.24,2596647,502.26,475.52,0.0531
South,Tamil Nadu,District_132,2003,455.07,12.08,285.08,276.17,619146,79.61,80.06,-0.0056
South,Kerala,District_11,2013,1262.09,31.34,72.9,42.73,134095,16.26,2.79,0.7803
West,Gujarat,District_143,2008,809.91,22.47,235.8,221.17,2985063,202.19,183.7,0.091
Central,Madhya Pradesh,District_42,2018,890.91,10.77,277.65,280.52,2107461,102.46,101.87,0.0057
West,Gujarat,District_2,2010,623.49,40.17,242.93,225.92,157712,33.23,46.37,-0.3839
East,Assam,District_40,2001,1107.57,49.98,203.76,172.05,1007030,76.95,90.9,-0.179
Central,Madhya Pradesh,District_83,2019,1118.17,11.72,338.12,327.93,714400,119.46,95.28,0.2008
West,Maharashtra,District_78,2015,1084.62,6.08,123.8,153.09,1334956,260.72,252.54,0.0313
North,Uttarakhand,District_141,2011,344.64,35.95,254.78,269.09,2418449,274.56,278.41,-0.014
East,Bihar,District_82,2016,598.97,38.66,88.12,90.02,1414877,190.48,149.44,0.2143
South,Karnataka,District_48,2016,1379.01,5.07,108.14,114.06,1375706,202.6,184.27,0.09
East,Bihar,District_130,2005,1188.83,38.36,94.21,57.56,2341485,493.57,475.92,0.0357
East,Jharkhand,District_140,2017,1035.66,36.66,253.28,272.5,3300298,699.12,719.47,-0.0291
South,Kerala,District_24,2011,689.97,35.48,206.81,234.76,2831300,547.38,538.06,0.017
South,Karnataka,District_55,2021,778.18,19.44,134.07,123.54,2544677,121.83,109.31,0.1019
East,Odisha,District_85,2011,812.73,21.11,283.87,310.8,1403903,175.27,140.12,0.1994
South,Andhra Pradesh,District_56,2019,704.15,43.06,230.35,189.22,1420313,307.13,283.73,0.0759
North,Haryana,District_122,2017,790.03,25.68,308.63,330.27,346012,31.32,19.56,0.3639
North,Uttar Pradesh,District_30,2021,698.27,41.08,235.77,189.81,2857128,173.95,153.48,0.117
South,Telangana,District_115,2007,1015.18,22.76,296.86,311.16,2481220,387.66,354.21,0.0861
North,Himachal Pradesh,District_63,2001,1391.67,49.97,347.18,317.63,1426652,135.16,131.43,0.0274
East,Odisha,District_98,2003,839.77,28.1,89.07,44.49,2217098,262.62,250.93,0.0443
South,Kerala,District_66,2017,525.32,30.46,279.22,257.63,332152,62.27,86.27,-0.3795
South,Andhra Pradesh,District_7,2016,777.22,43.06,86.65,49.89,1891213,239.57,229.72,0.041
South,Telangana,District_132,2016,885.27,8.34,337.19,303.16,33510,4.89,-24.35,4.9629
East,Assam,District_125,2001,360.23,33.5,236.54,233.6,769283,120.44,80.74,0.327
South,Andhra Pradesh,District_50,2010,808.04,22.81,294,300.49,43669,8.5,32.74,-2.5524
North,Haryana,District_22,2003,800.46,7.11,203.6,184.86,2137893,264.5,221.68,0.1613
South,Tamil Nadu,District_138,2017,178.54,7.12,327.73,293.33,2564986,505.64,470.87,0.0686
North,Uttar Pradesh,District_17,2006,739.93,19.83,120.58,88.57,2003639,429.71,455.51,-0.0599
West,Rajasthan,District_109,2003,1198.03,25.08,60.86,71.44,2277536,218.62,224.61,-0.0273
West,Rajasthan,District_138,2022,976.05,18.3,257.25,282.6,1756218,356.61,312.99,0.122
East,Jharkhand,District_19,2023,541.38,28.25,114.27,141.66,2242666,436.37,436.1,0.0006
Central,Madhya Pradesh,District_7,2014,675.45,35.72,221.55,183.31,2604201,289.23,263.41,0.0889
East,Odisha,District_10,2002,584.19,45.82,86.84,59.11,412046,45.36,44.5,0.0187
East,Bihar,District_14,2005,782.79,9.62,327.58,357.36,1105297,230.74,205.49,0.109
West,Gujarat,District_143,2002,1545.67,35.25,231.74,191.44,1919188,215.03,193.29,0.1006
North,Uttarakhand,District_59,2008,508.18,45.49,97.91,82.2,3448880,559.1,539.56,0.0349
East,Jharkhand,District_100,2014,1195.16,25.05,312.42,313.66,71690,11.88,22.59,-0.8314
South,Kerala,District_111,2010,996.89,29.08,214.58,233.55,1830017,239.87,253.19,-0.0553
North,Uttar Pradesh,District_100,2021,584.46,43.75,256.01,206.52,1305858,172.74,152.06,0.119
East,West Bengal,District_137,2000,939.32,48.09,133.56,93.57,1087374,145.63,161.12,-0.1056
North,Himachal Pradesh,District_17,2023,747.85,35.9,69.85,32.46,546022,67.95,35.62,0.4689
North,Uttarakhand,District_12,2022,958.91,2.74,139.15,168.95,2902276,334.46,358.04,-0.0703
East,Bihar,District_92,2016,828.13,32.26,213.67,238.16,2840381,407.3,385.13,0.0543
East,West Bengal,District_75,2021,774.65,46.37,266.59,267.12,605888,58.17,51.39,0.1145
South,Andhra Pradesh,District_23,2009,731.22,38.84,277.34,264.19,2625948,484.26,440.14,0.0909
East,Assam,District_98,2012,1038.82,18.63,233.82,188.85,227996,24.4,46.29,-0.8618
North,Uttar Pradesh,District_122,2005,662.31,36.59,74.08,51.98,3050633,149,153.9,-0.0326
Central,Chhattisgarh,District_57,2004,641.08,26.45,214.38,222.97,2008155,429.5,387.24,0.0982
South,Kerala,District_140,2009,1292.63,2.64,218.87,189.4,643556,120.63,75.92,0.3676
Central,Madhya Pradesh,District_77,2021,825.11,17.82,170.67,151.23,2884206,343.78,338.52,0.0153
South,Telangana,District_3,2017,801.76,38.91,259.7,230.37,416099,19.64,24.72,-0.246
Central,Chhattisgarh,District_37,2003,967.05,24.59,151.21,125.2,432799,18.17,43.69,-1.3312
West,Maharashtra,District_2,2018,862.7,48.53,152.42,149.63,1251938,170.04,178.12,-0.0472
North,Himachal Pradesh,District_101,2017,784.78,33.48,246.07,259.31,547451,115.82,114.06,0.015
Central,Chhattisgarh,District_22,2009,1019.43,21.36,331.31,285.32,2468367,430.22,444.86,-0.0339
West,Rajasthan,District_89,2006,776.08,19.81,243.93,272.47,3372053,524.31,506.05,0.0348
East,Jharkhand,District_132,2004,905.42,21.7,311.18,281.78,3165249,513.4,501.16,0.0238
